Trinidad and Tobago,,,,,,10219,9693,10463,9653,9664,9885,9872,10206,9624,9753,9478 
Tunisia,,,21885,,,,20889,,,,,,,,, 
Turkey,,,357533,320967,312249,294501,281504,,,,,,,,, 
Turkmenistan,,31751,30510,29208,28851,28279,27750,28847,28536,27944,28206,27067,27135,27251,25840,25978 
Turks and Caicos Islands,,77,99,,,,76,55,55,75,53,66,62,43,58,67 
Ukraine,,632296,,663139,664588,698235,706739,754460,762877,758092,781961,761261,765408,754911,745952,758082 
United Arab Emirates,,,,,,7413,7788,7578,7414,6483,6361,,,,, 
United Kingdom,,,576458,569024,552232,561666,559617,579697,574687,572224,582964,584791,612085,608045,604393,608366 
United States of America,,2626418,2596993,2543279,2515458,2469288,2437944,2471984,2423895,2426299,2448017,2397615,2448288,2443387,2416425,2403351 
Uruguay,,32122,32795,33354,,32572,30973,31068,33783,30576,31819,32193,32577,31115,31178,30455 
Uzbekistan,,149761,145672,145988,143253,138408,133610,,,,140585,131287,135933,137028,132542,135598 
Venezuela (Bolivarian Republic of),,,149876,148087,143020,138504,134733,133651,127459,121673,117788,117218,121864,110293,110528,105948 
Virgin Islands (USA),,,,723,711,702,666,678,703,624,663,626,631,617,605,641 
Zimbabwe,,,,,,,,,,,,,,,, 
